fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1213786,2024-09-22T15:00:00+00:00,61,2024,106,Stade Brestois 29,96,Toulouse,2,0,FT,4-3-1-2,3-4-2-1,4-3-1-2 vs 3-4-2-1,2,1,1,5,1,8,11,43,57,4,3,15,18,1.0,1.0,,,0.43,2.77
1213783,2024-09-22T18:45:00+00:00,61,2024,80,Lyon,81,Marseille,2,3,FT,3-5-2,4-2-3-1,3-5-2 vs 4-2-3-1,0,5,-5,9,5,22,9,63,37,10,3,17,8,4.0,3.0,0.0,1.0,3.01,0.79
1213794,2024-09-27T17:00:00+00:00,61,2024,108,Auxerre,106,Stade Brestois 29,3,0,FT,5-3-2,4-3-3,5-3-2 vs 4-3-3,0,0,0,4,4,15,8,38,62,2,3,13,16,2.0,0.0,,,2.57,0.8
1213793,2024-09-27T19:00:00+00:00,61,2024,85,Paris Saint Germain,94,Rennes,3,1,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,0,0,0,8,5,23,12,62,38,6,4,12,13,1.0,3.0,,,3.05,1.5
1213795,2024-09-28T15:00:00+00:00,61,2024,116,Lens,84,Nice,0,0,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,0,0,0,7,4,22,15,55,45,11,4,16,7,3.0,2.0,1.0,0.0,1.99,1.15
1213797,2024-09-28T17:00:00+00:00,61,2024,111,Le Havre,79,Lille,0,3,FT,5-4-1,4-2-3-1,5-4-1 vs 4-2-3-1,0,0,0,4,10,7,18,38,62,1,5,11,9,2.0,1.0,,,0.41,3.58
1213799,2024-09-28T19:00:00+00:00,61,2024,91,Monaco,82,Montpellier,2,1,FT,4-2-2-2,4-2-3-1,4-2-2-2 vs 4-2-3-1,0,0,0,7,4,21,9,65,35,6,2,17,17,4.0,3.0,0.0,1.0,3.25,0.88
1213798,2024-09-29T13:00:00+00:00,61,2024,96,Toulouse,80,Lyon,1,2,FT,3-4-2-1,4-3-3,3-4-2-1 vs 4-3-3,0,0,0,4,1,10,4,45,55,3,4,12,15,2.0,2.0,,,0.94,0.42
1213800,2024-09-29T15:00:00+00:00,61,2024,77,Angers,93,Reims,1,3,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,0,0,0,3,10,14,21,53,47,5,4,7,11,0.0,3.0,,,1.12,2.91
1213796,2024-09-29T15:00:00+00:00,61,2024,83,Nantes,1063,Saint Etienne,2,2,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,0,0,0,3,3,16,5,61,39,8,4,11,12,2.0,2.0,1.0,0.0,1.8,1.02
1213792,2024-09-29T18:45:00+00:00,61,2024,95,Strasbourg,81,Marseille,1,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,0,0,0,6,3,14,10,41,59,8,3,17,7,2.0,1.0,,,1.31,0.5
1213806,2024-10-04T18:45:00+00:00,61,2024,81,Marseille,77,Angers,1,1,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,5,4,1,4,3,16,10,76,24,9,3,15,9,4.0,0.0,1.0,1.0,0.89,0.83
1213804,2024-10-05T15:00:00+00:00,61,2024,1063,Saint Etienne,108,Auxerre,3,1,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,5,3,2,5,3,13,11,42,58,5,4,13,10,3.0,1.0,,,2.73,0.79
1213803,2024-10-05T17:00:00+00:00,61,2024,79,Lille,96,Toulouse,2,1,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,6,2,4,3,3,10,9,58,42,4,6,13,8,3.0,2.0,,,1.61,1.11
1213807,2024-10-05T19:00:00+00:00,61,2024,94,Rennes,91,Monaco,1,2,FT,3-4-3,3-4-2-1,3-4-3 vs 3-4-2-1,2,2,0,3,2,14,5,58,42,10,4,9,16,2.0,4.0,,,0.75,0.58
1213801,2024-10-06T13:00:00+00:00,61,2024,80,Lyon,83,Nantes,2,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,5,8,-3,6,6,17,11,62,38,6,9,10,5,1.0,2.0,,,3.28,0.88
1213809,2024-10-06T15:00:00+00:00,61,2024,93,Reims,82,Montpellier,4,2,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,2,8,-6,5,3,18,10,48,52,4,4,15,13,3.0,5.0,,,3.03,0.5
1213808,2024-10-06T15:00:00+00:00,61,2024,95,Strasbourg,116,Lens,2,2,FT,4-2-3-1,3-4-1-2,4-2-3-1 vs 3-4-1-2,7,8,-1,5,5,8,12,37,63,3,5,15,18,2.0,4.0,,,1.24,0.99
1213805,2024-10-06T15:00:00+00:00,61,2024,106,Stade Brestois 29,111,Le Havre,2,0,FT,4-2-3-1,3-1-4-2,4-2-3-1 vs 3-1-4-2,2,4,-2,3,1,8,14,54,46,1,9,19,11,4.0,0.0,1.0,1.0,0.75,1.06
1213802,2024-10-06T18:45:00+00:00,61,2024,84,Nice,85,Paris Saint Germain,1,1,FT,3-4-2-1,4-3-3,3-4-2-1 vs 4-3-3,4,3,1,3,9,8,19,29,71,5,15,7,9,1.0,2.0,,,0.35,1.3
1213815,2024-10-18T18:45:00+00:00,61,2024,91,Monaco,79,Lille,0,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,7,-3,4,1,14,3,51,49,6,1,13,14,1.0,5.0,1.0,0.0,1.23,0.25
1213817,2024-10-19T15:00:00+00:00,61,2024,106,Stade Brestois 29,94,Rennes,1,1,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,4,4,0,2,4,12,6,56,44,2,4,18,15,2.0,2.0,,,1.47,1.16
1213816,2024-10-19T17:00:00+00:00,61,2024,1063,Saint Etienne,116,Lens,0,2,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,5,8,-3,1,5,15,13,37,63,2,7,12,16,1.0,2.0,,,0.78,1.22
1213818,2024-10-19T19:00:00+00:00,61,2024,85,Paris Saint Germain,95,Strasbourg,4,2,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,3,7,-4,10,8,18,16,56,44,5,5,10,12,2.0,2.0,,,3.49,1.96
